event_types,u,i,ts
0,11,14,0
0,3,5,2700
0,4,16,34668
0,9,15,77112
0,12,13,78336
0,15,16,83340
0,10,18,130140
0,10,16,157464
0,1,3,184248
0,9,14,187236
0,0,15,189720
0,0,9,195516
0,9,15,195984
0,5,7,200196
0,9,11,246600
0,6,13,246852
0,3,11,256248
0,14,19,258156
0,2,8,264060
0,4,11,264744
0,8,17,272520
0,4,12,276444
0,12,19,276984
0,0,10,277812
0,0,10,280764
0,0,19,287676
0,0,1,288108
0,12,15,288648
0,0,9,296316
0,3,19,298908
0,10,15,299772
0,4,16,339264
0,13,18,341172
0,14,18,346500
0,2,11,380664
0,0,12,382068
0,8,10,382356
0,11,17,386928
0,3,5,387828
0,1,12,388728
0,2,10,391536
0,6,17,391608
0,5,9,392112
0,8,13,392832
0,5,14,393624
0,14,15,415728
0,1,8,419004
0,2,18,419364
0,15,17,426456
0,2,13,429336
0,4,8,435024
0,12,18,435420
0,2,6,435528
0,9,10,436284
0,9,12,437004
0,4,12,458496
0,10,11,458712
0,5,12,459612
0,7,12,461340
0,1,5,464220
0,0,3,471384
0,6,7,476604
0,1,4,476892
0,13,15,477288
0,1,6,479196
0,9,10,482256
0,12,14,486396
0,4,12,487008
0,8,18,489276
0,1,15,490644
0,14,16,491976
0,1,13,495612
0,0,15,499752
0,6,15,501552
0,7,8,525528
0,1,3,528552
0,11,15,530388
0,13,16,537660
0,9,16,540648
0,7,12,543420
0,4,9,543780
0,3,4,547056
0,1,4,548748
0,0,9,551088
0,3,17,552528
0,8,15,554508
0,16,18,558072
0,5,10,559368
0,10,17,559944
0,8,18,560160
0,12,17,560196
0,12,18,560412
0,3,10,561240
0,6,9,561600
0,0,16,563364
0,1,13,563400
0,12,13,563940
0,8,13,565092
0,7,19,565992
0,1,11,566028
0,14,19,568512
0,3,15,569556
0,9,10,576504
0,6,7,577260
0,6,16,620964
0,8,13,622692
0,3,14,624276
0,6,10,688860
0,0,19,695844
0,1,7,719352
0,14,18,725004
0,5,10,726084
0,3,19,731412
0,2,8,731916
0,1,9,743076
0,2,9,756972
0,11,18,804240
0,11,12,809100
0,8,19,814356
0,4,6,825588
0,14,16,829116
0,1,7,833724
0,15,19,860004
0,4,9,865980
0,0,15,866628
0,17,18,867528
0,5,19,873864
0,10,14,878688
0,15,19,880488
0,0,7,883584
0,1,14,917424
0,0,18,918792
0,10,19,929340
0,17,18,930672
0,1,4,947052
0,12,15,955080
0,18,19,971280
0,3,15,974916
0,13,15,977076
0,6,15,982728
0,9,12,986040
0,1,3,989136
0,4,19,1061820
0,2,9,1063008
0,11,13,1065888
0,0,13,1067760
0,12,14,1070352
0,7,14,1070388
0,1,18,1074600
0,7,13,1158156
0,16,19,1160820
0,8,9,1161504
0,4,10,1165680
0,8,19,1195704
0,8,13,1220760
0,12,18,1284696
0,6,8,1291428
0,6,8,1292580
0,0,16,1294416
0,14,16,1296072
0,2,16,1296864
0,7,14,1297080
0,11,18,1298088
0,9,18,1301760
0,14,17,1301832
0,0,8,1302048
0,7,19,1303416
0,12,18,1303740
0,0,10,1303848
0,3,7,1305144
0,8,9,1306368
0,11,17,1307628
0,8,15,1308168
0,7,15,1308384
0,9,17,1310580
0,4,6,1311372
0,10,16,1311840
0,4,13,1312776
0,5,9,1318932
0,12,18,1319652
0,13,19,1320624
0,2,19,1323612
0,9,12,1328148
0,1,3,1344204
0,6,18,1346148
0,0,18,1352736
0,2,6,1355004
0,4,6,1355076
0,4,15,1355220
0,2,13,1355832
0,2,19,1355940
0,0,6,1355976
0,0,18,1356156
0,13,14,1356192
0,6,13,1360260
0,6,12,1364508
0,16,19,1366884
0,3,12,1366920
0,6,16,1369800
0,5,6,1369836
0,11,15,1370808
0,0,1,1371852
0,5,19,1372752
0,0,8,1373184
0,12,19,1373292
0,7,8,1376568
0,13,18,1378116
0,4,16,1384344
0,3,8,1387368
0,9,16,1431648
0,3,10,1452312
0,0,8,1453212
0,7,12,1455336
0,2,16,1460088
0,10,14,1460700
